PlayerId(name='', guid='WP-ME-Petrovsky', is_player=True) got knocked by PlayerId(name='', guid='NickParr1sh', is_player=True) with 3
PlayerId(name='', guid='Gadzzoo', is_player=True) got knocked by PlayerId(name='', guid='KsK sneaX', is_player=True) with 4
PlayerId(name='', guid='WP-ME-Petrovsky', is_player=True) got eliminated by PlayerId(name='', guid='NickParr1sh', is_player=True) with 2
PlayerId(name='', guid='Gadzzoo', is_player=True) got eliminated by PlayerId(name='', guid='kinczulK', is_player=True) with 4
PlayerId(name='', guid='NickParr1sh', is_player=True) got knocked by PlayerId(name='', guid='WP-ME-Plaga69', is_player=True) with 3
PlayerId(name='', guid='vagchar', is_player=True) got knocked by PlayerId(name='', guid='franebiondic123', is_player=True) with 3
PlayerId(name='', guid='xmm642008', is_player=True) got knocked by PlayerId(name='', guid='kyriedurant6', is_player=True) with 4
PlayerId(name='', guid='NickParr1sh', is_player=True) got eliminated by PlayerId(name='', guid='WP-ME-Plaga69', is_player=True) with 3
PlayerId(name='', guid='Demon_Hunter34', is_player=True) got knocked by PlayerId(name='', guid='cerealMkilaa', is_player=True) with 4
PlayerId(name='', guid='vagchar', is_player=True) got eliminated by PlayerId(name='', guid='franebiondic123', is_player=True) with 3
PlayerId(name='', guid='Demon_Hunter34', is_player=True) got eliminated by PlayerId(name='', guid='cerealMkilaa', is_player=True) with 4
PlayerId(name='', guid='PatrikPINDO998', is_player=True) got eliminated by PlayerId(name='', guid='FiliKas69', is_player=True) with 2
PlayerId(name='', guid='WP-ME-Plaga69', is_player=True) got eliminated by PlayerId(name='', guid='M1L_iamzod', is_player=True) with 3
PlayerId(name='', guid='WP ME Żbiku', is_player=True) got eliminated by PlayerId(name='', guid='WP ME Żbiku', is_player=True) with 4
PlayerId(name='', guid='xmm642008', is_player=True) got eliminated by PlayerId(name='', guid='kyriedurant6', is_player=True) with 4
PlayerId(name='', guid='menacing-hook728', is_player=True) got knocked by PlayerId(name='', guid='Gol.D.', is_player=True) with 4
PlayerId(name='', guid='HaRuN42_36', is_player=True) got knocked by PlayerId(name='', guid='HaRuN42_36', is_player=True) with 15
PlayerId(name='', guid='kinczulK', is_player=True) got knocked by PlayerId(name='', guid='Ghost LaughBear', is_player=True) with 6
PlayerId(name='', guid='abdullah1564', is_player=True) got knocked by PlayerId(name='', guid='abdallah7864', is_player=True) with 3
